performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7632850241545893,0.8541666666666666,0.24112476173999342,0.896875,0.46774193548387094,0.8153409090909091,0.7157028958944281,"[[ 29  33]
 [ 65 287]]"
1,0.7922705314009661,0.8731563421828908,0.31990824499556103,0.9192546583850931,0.5517241379310345,0.8314606741573034,0.7662001162340177,"[[ 32  26]
 [ 60 296]]"
2,0.7318840579710145,0.8262910798122066,0.30081178331229663,0.9263157894736842,0.65,0.7457627118644068,0.783027306967985,"[[ 39  21]
 [ 90 264]]"
3,0.7391304347826086,0.8363636363636363,0.2429352668091834,0.92,0.5555555555555556,0.7666666666666667,0.7205761316872428,"[[ 30  24]
 [ 84 276]]"
4,0.7125603864734299,0.8177641653905054,0.1963431367918719,0.9143835616438356,0.5283018867924528,0.739612188365651,0.6651596717712853,"[[ 28  25]
 [ 94 267]]"

metrics_summary
mean,0.7478260869565216,0.8415483780831812,0.2602246387297813,0.9153658019005226,0.5506647031525829,0.7797686300289873,0.7301332245109917
std,0.027523516006268817,0.019918032392497828,0.04461843371192569,0.009993755805315713,0.058768741678613505,0.03708923883027983,0.04152045182887792

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_60_features_vgg_16_fc8_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc8_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,60
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
