performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7801932367149759,0.8659793814432989,0.2653579880976608,0.8990825688073395,0.46774193548387094,0.8352272727272727,0.7297699780058651,"[[ 29  33]
 [ 58 294]]"
1,0.7729468599033816,0.8613569321533924,0.2529507053453273,0.906832298136646,0.4827586206896552,0.8202247191011236,0.7514287098024022,"[[ 28  30]
 [ 64 292]]"
2,0.7971014492753623,0.8768328445747802,0.31351504827315285,0.9115853658536586,0.5166666666666667,0.844632768361582,0.7453389830508474,"[[ 31  29]
 [ 55 299]]"
3,0.7874396135265701,0.8709677419354838,0.29327786272050055,0.922360248447205,0.5370370370370371,0.825,0.7401234567901235,"[[ 29  25]
 [ 63 297]]"
4,0.7801932367149759,0.8647845468053492,0.31780294641449963,0.9326923076923077,0.6037735849056604,0.8060941828254847,0.7269377515287724,"[[ 32  21]
 [ 70 291]]"

metrics_summary
mean,0.7835748792270532,0.867984289382461,0.28858091017022824,0.9145105577874313,0.5215955689565781,0.8262357886030924,0.7387197758356021
std,0.008169823442168002,0.005392175634632869,0.02571581464355998,0.011812949979930772,0.04780058934467498,0.013134991924772948,0.009232726627739161

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_1700_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1700
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
