performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7560386473429952,0.8438948995363215,0.33173066800843387,0.9254237288135593,0.6451612903225806,0.7755681818181818,0.764891862170088,"[[ 40  22]
 [ 79 273]]"
1,0.7318840579710145,0.827906976744186,0.2802499438404065,0.9238754325259516,0.6206896551724138,0.75,0.7516950794265789,"[[ 36  22]
 [ 89 267]]"
2,0.748792270531401,0.8400000000000001,0.30245284375486436,0.9222972972972973,0.6166666666666667,0.7711864406779662,0.7428907721280602,"[[ 37  23]
 [ 81 273]]"
3,0.748792270531401,0.8414634146341464,0.29565231547813015,0.9324324324324325,0.6296296296296297,0.7666666666666667,0.7564300411522633,"[[ 34  20]
 [ 84 276]]"
4,0.6884057971014492,0.798751950078003,0.18303220465789863,0.9142857142857143,0.5471698113207547,0.7091412742382271,0.6999947734281086,"[[ 29  24]
 [105 256]]"

metrics_summary
mean,0.7347826086956522,0.8304034481985315,0.2786235951479467,0.923662921070991,0.6118634106224091,0.7545125126802084,0.7431805056610197
std,0.024509470326504027,0.016759985836696474,0.05063305351043585,0.005828325144127538,0.033795333945460054,0.024281666274359813,0.022735534181626587

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_20_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,20
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
