performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7439613526570048,0.8374233128834355,0.2716693980667751,0.91,0.5645161290322581,0.7755681818181818,0.709562866568915,"[[ 35  27]
 [ 79 273]]"
1,0.7584541062801933,0.8498498498498499,0.2636332085510949,0.9129032258064517,0.5344827586206896,0.7949438202247191,0.7515013560635413,"[[ 31  27]
 [ 73 283]]"
2,0.751207729468599,0.8412942989214176,0.31465346851752524,0.9254237288135593,0.6333333333333333,0.7711864406779662,0.7513418079096045,"[[ 38  22]
 [ 81 273]]"
3,0.7342995169082126,0.8318042813455656,0.2584329776372611,0.9251700680272109,0.5925925925925926,0.7555555555555555,0.7103395061728396,"[[ 32  22]
 [ 88 272]]"
4,0.6956521739130435,0.8037383177570093,0.2008559198120065,0.9181494661921709,0.5660377358490566,0.7146814404432132,0.6964668374013484,"[[ 30  23]
 [103 258]]"

metrics_summary
mean,0.7367149758454106,0.8328220121514555,0.26184899451693255,0.9183292977678785,0.578192509885586,0.7623870877439272,0.7238424748232497
std,0.022032375364234563,0.01568308594533776,0.03638615273249872,0.006260653116649656,0.033145729960970066,0.026957779208602678,0.023051637382995014

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_40_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,40
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
