performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7898550724637681,0.8718703976435934,0.2985879357904713,0.9051987767584098,0.5,0.8409090909090909,0.7384072580645161,"[[ 31  31]
 [ 56 296]]"
1,0.7874396135265701,0.8705882352941177,0.29342677529691746,0.9135802469135802,0.5172413793103449,0.8314606741573034,0.7441156528477334,"[[ 30  28]
 [ 60 296]]"
2,0.7971014492753623,0.8764705882352941,0.32279138337262914,0.9141104294478528,0.5333333333333333,0.8418079096045198,0.7383003766478343,"[[ 32  28]
 [ 56 298]]"
3,0.7898550724637681,0.8726207906295753,0.2966870834474022,0.9226006191950464,0.5370370370370371,0.8277777777777777,0.7471450617283951,"[[ 29  25]
 [ 62 298]]"
4,0.7729468599033816,0.8605341246290801,0.28734966813566326,0.9265175718849841,0.5660377358490566,0.8033240997229917,0.7204045366644017,"[[ 30  23]
 [ 71 290]]"

metrics_summary
mean,0.78743961352657,0.8704168272863321,0.29976856920861666,0.9164015288399746,0.5307298971059543,0.8290559104343368,0.7376745771905762
std,0.007938008079785012,0.005316305772730445,0.012127546129976423,0.007476275415641333,0.02199758195563419,0.013947429615086751,0.009277502670457611

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_1480_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1480
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
