performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7946859903381642,0.8744460856720827,0.3241409530345664,0.9107692307692308,0.532258064516129,0.8409090909090909,0.7640441715542523,"[[ 33  29]
 [ 56 296]]"
1,0.7971014492753623,0.8782608695652173,0.27834773621990316,0.907185628742515,0.46551724137931033,0.851123595505618,0.7560296396745447,"[[ 27  31]
 [ 53 303]]"
2,0.7971014492753623,0.8768328445747802,0.31351504827315285,0.9115853658536586,0.5166666666666667,0.844632768361582,0.7657956685499059,"[[ 31  29]
 [ 55 299]]"
3,0.7898550724637681,0.8718703976435934,0.31740297981847326,0.9278996865203761,0.5740740740740741,0.8222222222222222,0.7672582304526749,"[[ 31  23]
 [ 64 296]]"
4,0.7632850241545893,0.8545994065281899,0.2536825498087453,0.9201277955271565,0.5283018867924528,0.7977839335180056,0.6954476558825067,"[[ 28  25]
 [ 73 288]]"

metrics_summary
mean,0.7884057971014492,0.8712019207967726,0.2974178534309682,0.9155135414825875,0.5233635866857266,0.8313343221033037,0.7497150732227769
std,0.01283606787979366,0.008580804244133322,0.027015163017488616,0.0075100080933085895,0.034831309128524564,0.019332869165374515,0.027409842410775553

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_1960_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1960
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
