performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7801932367149759,0.8667642752562226,0.2463435032871837,0.8942598187311178,0.43548387096774194,0.8409090909090909,0.7146490102639297,"[[ 27  35]
 [ 56 296]]"
1,0.7705314009661836,0.8588410104011887,0.2696317612292564,0.9116719242902208,0.5172413793103449,0.8117977528089888,0.7036274699728787,"[[ 30  28]
 [ 67 289]]"
2,0.7898550724637681,0.8699551569506727,0.34829859091094884,0.9238095238095239,0.6,0.8220338983050848,0.7641949152542372,"[[ 36  24]
 [ 63 291]]"
3,0.7729468599033816,0.8605341246290802,0.2841346231567584,0.9235668789808917,0.5555555555555556,0.8055555555555556,0.7463734567901235,"[[ 30  24]
 [ 70 290]]"
4,0.7632850241545893,0.8558823529411764,0.22072655696329782,0.9122257053291536,0.4716981132075472,0.8060941828254847,0.7201954737887419,"[[ 25  28]
 [ 70 291]]"

metrics_summary
mean,0.7753623188405797,0.8623953840356682,0.27382700710948904,0.9131067702281814,0.5159957838082379,0.8172780960808408,0.7298080652139822
std,0.009037819774816288,0.005191431586246424,0.04299968515826644,0.01078893366645763,0.05842548607710502,0.013217969630896612,0.022201306636446795

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_880_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,880
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
