performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8164251207729468,0.889855072463768,0.3430288618708953,0.908284023668639,0.5,0.8721590909090909,0.7791193181818181,"[[ 31  31]
 [ 45 307]]"
1,0.8091787439613527,0.8856729377713459,0.3175872204237428,0.9134328358208955,0.5,0.8595505617977528,0.7543103448275862,"[[ 29  29]
 [ 50 306]]"
2,0.7971014492753623,0.8746268656716418,0.367998575582529,0.9272151898734177,0.6166666666666667,0.827683615819209,0.7747410546139359,"[[ 37  23]
 [ 61 293]]"
3,0.7971014492753623,0.8782608695652174,0.2861238946975298,0.9181818181818182,0.5,0.8416666666666667,0.7333847736625514,"[[ 27  27]
 [ 57 303]]"
4,0.7801932367149759,0.8667642752562226,0.26470674856675336,0.9192546583850931,0.5094339622641509,0.8199445983379502,0.7066586525897663,"[[ 27  26]
 [ 65 296]]"

metrics_summary
mean,0.8,0.8790360041456392,0.31588906022829005,0.9172737051859727,0.5252201257861635,0.8442009067061338,0.7496428287751316
std,0.012354310968641945,0.008145401068828571,0.03731071770361776,0.006311079366379585,0.045869024475702534,0.019415889069684594,0.026953789464475183

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_all_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
