performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7198067632850241,0.8204334365325078,0.22423249127020206,0.9013605442176871,0.532258064516129,0.7528409090909091,0.6818181818181818,"[[ 33  29]
 [ 87 265]]"
1,0.7391304347826086,0.8338461538461538,0.27899196273820753,0.9217687074829932,0.603448275862069,0.7612359550561798,0.7655220844633863,"[[ 35  23]
 [ 85 271]]"
2,0.7681159420289855,0.8562874251497007,0.2806571459144496,0.910828025477707,0.5333333333333333,0.807909604519774,0.7515772128060264,"[[ 32  28]
 [ 68 286]]"
3,0.7198067632850241,0.8209876543209877,0.2426196014691492,0.9236111111111112,0.5925925925925926,0.7388888888888889,0.7041923868312757,"[[ 32  22]
 [ 94 266]]"
4,0.6980676328502415,0.8068006182380217,0.1816707134983887,0.9125874125874126,0.5283018867924528,0.7229916897506925,0.6773637171379292,"[[ 28  25]
 [100 261]]"

metrics_summary
mean,0.7289855072463768,0.8276710576174743,0.24163438297807946,0.9140311601753822,0.5579868306193153,0.7567734094612888,0.7160947166113598
std,0.023488397644721187,0.016671260196262045,0.0369264212744206,0.00805647672379322,0.03290976143619817,0.028675250583452095,0.03610736445883797

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_60_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,60
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
