performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7898550724637681,0.8718703976435934,0.2985879357904713,0.9051987767584098,0.5,0.8409090909090909,0.7344208211143696,"[[ 31  31]
 [ 56 296]]"
1,0.7753623188405797,0.8626292466765141,0.2663175940268311,0.9096573208722741,0.5,0.8202247191011236,0.727963967454475,"[[ 29  29]
 [ 64 292]]"
2,0.785024154589372,0.8677563150074293,0.3138251700829959,0.9153605015673981,0.55,0.8248587570621468,0.7511534839924672,"[[ 33  27]
 [ 62 292]]"
3,0.7801932367149759,0.865979381443299,0.2832895754454598,0.9216300940438872,0.5370370370370371,0.8166666666666667,0.7236625514403292,"[[ 29  25]
 [ 66 294]]"
4,0.7632850241545893,0.8537313432835821,0.2751325885093514,0.9255663430420712,0.5660377358490566,0.7922437673130194,0.7295249046150629,"[[ 30  23]
 [ 75 286]]"

metrics_summary
mean,0.7787439613526569,0.8643933368108836,0.2874305727710219,0.9154826072568081,0.5306149545772187,0.8189806002104094,0.7333451457233408
std,0.00911495761551364,0.006107728196324673,0.016942890332008305,0.007472340492313213,0.02663211388428189,0.01573004631867203,0.009545658103982087

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_500_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,500
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
