performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7681159420289855,0.8579881656804734,0.2383186530351539,0.8950617283950617,0.45161290322580644,0.8238636363636364,0.7193685850439883,"[[ 28  34]
 [ 62 290]]"
1,0.7995169082125604,0.8774002954209749,0.34969288435283535,0.9252336448598131,0.5862068965517241,0.8342696629213483,0.7769517628826036,"[[ 34  24]
 [ 59 297]]"
2,0.7657004830917874,0.8562962962962962,0.23875238862800682,0.9003115264797508,0.4666666666666667,0.8163841807909604,0.7004472693032014,"[[ 28  32]
 [ 65 289]]"
3,0.8019323671497585,0.8801169590643275,0.33491480125090983,0.9290123456790124,0.5740740740740741,0.8361111111111111,0.7402520576131687,"[[ 31  23]
 [ 59 301]]"
4,0.7536231884057971,0.8454545454545455,0.29501743575786743,0.9331103678929766,0.6226415094339622,0.7728531855955678,0.6950817958501019,"[[ 33  20]
 [ 82 279]]"

metrics_summary
mean,0.7777777777777777,0.8634512523833235,0.2913392326049547,0.916545922661323,0.5402404099904466,0.8166963553565247,0.7264202941386129
std,0.019383963910858826,0.013245691783021266,0.04667775926699742,0.01568690720529236,0.06828690440135911,0.02306271789907038,0.02983679979312823

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_all_features_vgg_16_fc8_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc8_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
