performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7874396135265701,0.870967741935484,0.2763868465395779,0.9,0.46774193548387094,0.84375,0.7363453079178885,"[[ 29  33]
 [ 55 297]]"
1,0.7753623188405797,0.8634361233480177,0.24616831219253069,0.9046153846153846,0.46551724137931033,0.8258426966292135,0.7177934908950019,"[[ 27  31]
 [ 62 294]]"
2,0.7801932367149759,0.8667642752562225,0.24938827296576213,0.8996960486322189,0.45,0.8361581920903954,0.7357815442561204,"[[ 27  33]
 [ 58 296]]"
3,0.7753623188405797,0.8622222222222223,0.2873055734657658,0.9238095238095239,0.5555555555555556,0.8083333333333333,0.7262345679012345,"[[ 30  24]
 [ 69 291]]"
4,0.7439613526570048,0.8393939393939395,0.262735892635426,0.9264214046822743,0.5849056603773585,0.7673130193905817,0.7209794595724665,"[[ 31  22]
 [ 84 277]]"

metrics_summary
mean,0.772463768115942,0.8605568604311772,0.2643969795598125,0.9109084723478802,0.504744078559219,0.8162794482887048,0.7274268741085425
std,0.014921203102879733,0.011007736044933434,0.015677151414233474,0.011759288806559229,0.05461227495488728,0.027210671756490546,0.007551579905124916

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_480_features_vgg_16_fc8_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc8_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,480
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
