performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7898550724637681,0.8714918759231904,0.3076632572393416,0.9076923076923077,0.5161290322580645,0.8380681818181818,0.7362307551319648,"[[ 32  30]
 [ 57 295]]"
1,0.7777777777777778,0.863905325443787,0.2795955341033347,0.9125,0.5172413793103449,0.8202247191011236,0.7338483146067416,"[[ 30  28]
 [ 64 292]]"
2,0.7922705314009661,0.8708708708708708,0.36970823392849556,0.9294871794871795,0.6333333333333333,0.8192090395480226,0.7750470809792844,"[[ 38  22]
 [ 64 290]]"
3,0.7777777777777778,0.8643067846607669,0.28003634990415976,0.9213836477987422,0.5370370370370371,0.8138888888888889,0.7308384773662551,"[[ 29  25]
 [ 67 293]]"
4,0.7729468599033816,0.8617647058823529,0.2551125568063102,0.9184952978056427,0.5094339622641509,0.8116343490304709,0.7251868499451211,"[[ 27  26]
 [ 68 293]]"

metrics_summary
mean,0.7821256038647342,0.8664679125561936,0.29842318639632837,0.9179116865567745,0.5426349488405862,0.8206050356773374,0.7402302956058735
std,0.007546134952566797,0.003949271561684129,0.0393326932548144,0.007484774001954537,0.04627577349579354,0.009301986515018693,0.017795763857771974

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_860_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,860
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
