performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8260869565217391,0.8950437317784258,0.39464581094235734,0.9191616766467066,0.5645161290322581,0.8721590909090909,0.8289039589442815,"[[ 35  27]
 [ 45 307]]"
1,0.8164251207729468,0.8892128279883382,0.3674119405210539,0.9242424242424242,0.5689655172413793,0.8567415730337079,0.8054775280898876,"[[ 33  25]
 [ 51 305]]"
2,0.8164251207729468,0.888235294117647,0.3898775443747719,0.9263803680981595,0.6,0.8531073446327684,0.8365348399246705,"[[ 36  24]
 [ 52 302]]"
3,0.8067632850241546,0.8830409356725146,0.35230315436325954,0.9320987654320988,0.5925925925925926,0.8388888888888889,0.8108024691358026,"[[ 32  22]
 [ 58 302]]"
4,0.7874396135265701,0.8702064896755162,0.31716751421329814,0.9305993690851735,0.5849056603773585,0.817174515235457,0.7736110385198349,"[[ 31  22]
 [ 66 295]]"

metrics_summary
mean,0.8106280193236716,0.8851478558464884,0.3642811928829482,0.9264965207009126,0.5821959798487177,0.8476142825399826,0.8110659669228953
std,0.013105951658213051,0.00838651500597356,0.02810749702455368,0.004628453099322789,0.013564935122270999,0.018539906734978517,0.021913599397123423

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_1040_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1040
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
