performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7478991596638656,0.5161290322580645,0.3497375972241599,0.4752475247524752,0.8051470588235294,0.5647058823529412,0.8078070934256055,"[[219  53]
 [ 37  48]]"
1,0.7450980392156863,0.508108108108108,0.33875174150082926,0.47474747474747475,0.8081180811808119,0.5465116279069767,0.796039646442976,"[[219  52]
 [ 39  47]]"
2,0.7282913165266106,0.5688888888888889,0.38368278276939793,0.5,0.7538461538461538,0.6597938144329897,0.7784496431403647,"[[196  64]
 [ 33  64]]"
3,0.7535014005602241,0.5000000000000001,0.34963178306109793,0.43137254901960786,0.7950530035335689,0.5945945945945946,0.7986581988348773,"[[225  58]
 [ 30  44]]"
4,0.803921568627451,0.6195652173913043,0.5020693249285068,0.5377358490566038,0.8243727598566308,0.7307692307692307,0.8514612627515853,"[[230  49]
 [ 21  57]]"

metrics_summary
mean,0.7557422969187675,0.5425382493292731,0.38477464589679833,0.48382067951523233,0.7973074114481389,0.6192750300113465,0.8064831689190818
std,0.025513271791004388,0.04543103353623588,0.0605639450684294,0.034857551083957536,0.023684708159079502,0.06775567451951829,0.024417033345671142

parameters
logs_file_path,../heliyon_results/results_scenario_III/only_hospitalized_XGBoost_Classifier_2360_features_vgg_16_fc6_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,2360
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
