performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7450980392156863,0.5185185185185186,0.35082930135980905,0.47115384615384615,0.7977941176470589,0.5764705882352941,0.8029844290657439,"[[217  55]
 [ 36  49]]"
1,0.7535014005602241,0.5319148936170213,0.36871103128944355,0.49019607843137253,0.8081180811808119,0.5813953488372093,0.8012099888440745,"[[219  52]
 [ 36  50]]"
2,0.7170868347338936,0.530232558139535,0.3338288590485648,0.4830508474576271,0.7653846153846153,0.5876288659793815,0.7720856463124504,"[[199  61]
 [ 40  57]]"
3,0.7675070028011205,0.5202312138728323,0.3778550330677448,0.45454545454545453,0.8091872791519434,0.6081081081081081,0.7918775666125489,"[[229  54]
 [ 29  45]]"
4,0.7619047619047619,0.5728643216080401,0.43768984060793836,0.47107438016528924,0.7706093189964157,0.7307692307692307,0.8532763532763532,"[[215  64]
 [ 21  57]]"

metrics_summary
mean,0.7490196078431373,0.5347523011511894,0.3737828130747001,0.47400412135071796,0.7902186824721691,0.6168744283858448,0.8042867968222343
std,0.01768037404824594,0.019775756552001894,0.035354197082245443,0.012160344512430164,0.018648546196704974,0.05795759257623179,0.026840427117427335

parameters
logs_file_path,../heliyon_results/results_scenario_III/only_hospitalized_XGBoost_Classifier_all_features_vgg_16_fc8_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc8.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
