performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8164251207729468,0.8888888888888888,0.3689038211232539,0.9156626506024096,0.5483870967741935,0.8636363636363636,0.8252611803519061,"[[ 34  28]
 [ 48 304]]"
1,0.8188405797101449,0.8917748917748918,0.34362620662828797,0.9169139465875371,0.5172413793103449,0.8679775280898876,0.8070999612553273,"[[ 30  28]
 [ 47 309]]"
2,0.8260869565217391,0.8947368421052632,0.4065174516263446,0.9272727272727272,0.6,0.864406779661017,0.8200329566854991,"[[ 36  24]
 [ 48 306]]"
3,0.8188405797101449,0.8908296943231442,0.38117131895814,0.9357798165137615,0.6111111111111112,0.85,0.8223765432098765,"[[ 33  21]
 [ 54 306]]"
4,0.7946859903381642,0.8751835535976505,0.32730288938343005,0.93125,0.5849056603773585,0.8254847645429363,0.7880363769403648,"[[ 31  22]
 [ 63 298]]"

metrics_summary
mean,0.814975845410628,0.8882827741379676,0.3655043375438913,0.9253758281952871,0.5723290495146016,0.8543010871860408,0.8125614036885948
std,0.010649955403405128,0.0068160638964346,0.027846326780736404,0.007903117773721775,0.034744120230021464,0.015653735939082265,0.013745906196093843

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_1580_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1580
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
