performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8164251207729468,0.8875739644970415,0.40243030033481075,0.9259259259259259,0.6129032258064516,0.8522727272727273,0.8273918621700879,"[[ 38  24]
 [ 52 300]]"
1,0.8164251207729468,0.8898550724637682,0.3488500077372112,0.9191616766467066,0.5344827586206896,0.8623595505617978,0.7883572258814413,"[[ 31  27]
 [ 49 307]]"
2,0.8115942028985508,0.8872832369942196,0.3187723392225045,0.908284023668639,0.48333333333333334,0.867231638418079,0.8341101694915254,"[[ 29  31]
 [ 47 307]]"
3,0.8067632850241546,0.8823529411764706,0.37218208385963353,0.9375,0.6296296296296297,0.8333333333333334,0.8084104938271606,"[[ 34  20]
 [ 60 300]]"
4,0.8115942028985508,0.8859649122807017,0.3727259589914868,0.9380804953560371,0.6226415094339622,0.8393351800554016,0.7860502796215961,"[[ 33  20]
 [ 58 303]]"

metrics_summary
mean,0.81256038647343,0.8866060254824403,0.36299213802912933,0.9257904243194618,0.5765980913648133,0.8509064859282679,0.8088640061983623
std,0.003615127909926482,0.0024678565560290917,0.027892513248669693,0.01130126301652925,0.05783151308390142,0.012978911514106213,0.019605356618489757

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_1860_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1860
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
