performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7619047619047619,0.5454545454545454,0.38890872965260115,0.5,0.8125,0.6,0.8060121107266436,"[[221  51]
 [ 34  51]]"
1,0.7478991596638656,0.5544554455445545,0.39239451576398315,0.4827586206896552,0.7785977859778598,0.6511627906976745,0.8075817386080838,"[[211  60]
 [ 30  56]]"
2,0.7394957983193278,0.5463414634146342,0.3654015127252076,0.5185185185185185,0.8,0.5773195876288659,0.7934377478191911,"[[208  52]
 [ 41  56]]"
3,0.7450980392156863,0.47398843930635837,0.31611147119330385,0.41414141414141414,0.7950530035335689,0.5540540540540541,0.7702463948046987,"[[225  58]
 [ 33  41]]"
4,0.7871148459383753,0.6,0.47522903798510824,0.5089285714285714,0.8028673835125448,0.7307692307692307,0.8339307048984468,"[[224  55]
 [ 21  57]]"

metrics_summary
mean,0.7563025210084033,0.5440479787440184,0.38760905346404073,0.4848694249556319,0.7978036346047948,0.622661132629965,0.8022417393714127
std,0.017084538579245814,0.040384456455167576,0.051588624000488935,0.03727450961761637,0.011161355854466024,0.06289041145004302,0.020727441566058713

parameters
logs_file_path,../heliyon_results/results_scenario_III/only_hospitalized_XGBoost_Classifier_2900_features_vgg_16_fc7_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc7.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,2900
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
