performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8357487922705314,0.9002932551319648,0.444707167909665,0.9303030303030303,0.6290322580645161,0.8721590909090909,0.8420775293255132,"[[ 39  23]
 [ 45 307]]"
1,0.7898550724637681,0.8726207906295755,0.2871684613305765,0.9113149847094801,0.5,0.8370786516853933,0.8170524990313832,"[[ 29  29]
 [ 58 298]]"
2,0.7801932367149759,0.863568215892054,0.3253250182008195,0.9201277955271565,0.5833333333333334,0.8135593220338984,0.8455743879472692,"[[ 35  25]
 [ 66 288]]"
3,0.8115942028985508,0.8842729970326408,0.4181878812614855,0.9490445859872612,0.7037037037037037,0.8277777777777777,0.8474279835390945,"[[ 38  16]
 [ 62 298]]"
4,0.8019323671497585,0.8790560471976402,0.36837277258492385,0.9400630914826499,0.6415094339622641,0.8254847645429363,0.824387184445722,"[[ 34  19]
 [ 63 298]]"

metrics_summary
mean,0.8038647342995169,0.879962261176775,0.3687522602574941,0.9301706976019156,0.6115157458127635,0.8352119213898191,0.8353039168577965
std,0.019166023598915356,0.012291581616650235,0.057887847138048676,0.013494431608504396,0.06772751146722383,0.019936384566508335,0.012252727813725543

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_all_features_vgg_16_fc8_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc8.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
