performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8140096618357487,0.8879184861717613,0.3474428268294914,0.9104477611940298,0.5161290322580645,0.8664772727272727,0.8155700146627566,"[[ 32  30]
 [ 47 305]]"
1,0.8140096618357487,0.8879184861717613,0.3541127449557386,0.9214501510574018,0.5517241379310345,0.8567415730337079,0.7932971716388997,"[[ 32  26]
 [ 51 305]]"
2,0.8333333333333334,0.8992700729927008,0.42796300523252523,0.9305135951661632,0.6166666666666667,0.8700564971751412,0.8296610169491525,"[[ 37  23]
 [ 46 308]]"
3,0.8067632850241546,0.8830409356725146,0.35230315436325954,0.9320987654320988,0.5925925925925926,0.8388888888888889,0.8032150205761318,"[[ 32  22]
 [ 58 302]]"
4,0.7922705314009661,0.8731563421828908,0.33423593367050675,0.9337539432176656,0.6037735849056604,0.8199445983379502,0.7973135420477709,"[[ 32  21]
 [ 65 296]]"

metrics_summary
mean,0.8120772946859903,0.8862608646383258,0.3632115330103043,0.9256528432134719,0.5761772028708038,0.8504217660325921,0.8078113531749423
std,0.013265246587194201,0.008447856197090795,0.0331142606000241,0.008713917427297333,0.03707871944523887,0.0186821140596751,0.01326345665812934

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_1700_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1700
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
