performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8454106280193237,0.9067055393586004,0.4632222498637156,0.9311377245508982,0.6290322580645161,0.8835227272727273,0.8440249266862172,"[[ 39  23]
 [ 41 311]]"
1,0.8333333333333334,0.8998548621190131,0.4149232613441603,0.9309309309309309,0.603448275862069,0.8707865168539326,0.8100300271212708,"[[ 35  23]
 [ 46 310]]"
2,0.8115942028985508,0.8839285714285714,0.4078701151840491,0.9339622641509434,0.65,0.8389830508474576,0.8387241054613936,"[[ 39  21]
 [ 57 297]]"
3,0.7971014492753623,0.8757396449704142,0.35800378450773873,0.9367088607594937,0.6296296296296297,0.8222222222222222,0.803369341563786,"[[ 34  20]
 [ 64 296]]"
4,0.8115942028985508,0.8862973760932945,0.3626366736218151,0.9353846153846154,0.6037735849056604,0.8421052631578947,0.808054147284796,"[[ 32  21]
 [ 57 304]]"

metrics_summary
mean,0.8198067632850241,0.8905051987939787,0.40133121690429574,0.9336248791553764,0.623176749692375,0.851523956070847,0.8208405096234929
std,0.01725659043429154,0.01121469230787558,0.03855524582069265,0.0022875636746912138,0.0176697984043951,0.022358646170546774,0.01698787509837261

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_2740_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,2740
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
