performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8091787439613527,0.8839941262848752,0.3564544926473899,0.9148936170212766,0.5483870967741935,0.8551136363636364,0.821778775659824,"[[ 34  28]
 [ 51 301]]"
1,0.8019323671497585,0.8801169590643275,0.32510463447128596,0.9176829268292683,0.5344827586206896,0.8455056179775281,0.8003196435490121,"[[ 31  27]
 [ 55 301]]"
2,0.8236714975845411,0.893740902474527,0.3850353321570231,0.9219219219219219,0.5666666666666667,0.867231638418079,0.8453860640301318,"[[ 34  26]
 [ 47 307]]"
3,0.8333333333333334,0.8995633187772926,0.43398421254872566,0.944954128440367,0.6666666666666666,0.8583333333333333,0.8367541152263374,"[[ 36  18]
 [ 51 309]]"
4,0.785024154589372,0.8677563150074294,0.33458060770187564,0.9358974358974359,0.6226415094339622,0.8088642659279779,0.8056237913552501,"[[ 33  20]
 [ 69 292]]"

metrics_summary
mean,0.8106280193236716,0.8850343243216903,0.36703185590526005,0.9270700060220539,0.5877689396324357,0.847009698404111,0.821972477964111
std,0.01684598625522965,0.011051590672081297,0.03931818723665095,0.011494779925252203,0.04955118568466355,0.020298579522279488,0.01733698431243525

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_2120_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,2120
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
