performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8067632850241546,0.8823529411764706,0.3524169797938081,0.9146341463414634,0.5483870967741935,0.8522727272727273,0.8145619501466276,"[[ 34  28]
 [ 52 300]]"
1,0.8260869565217391,0.8953488372093023,0.3930981034717543,0.927710843373494,0.5862068965517241,0.8651685393258427,0.8359405269275475,"[[ 34  24]
 [ 48 308]]"
2,0.8115942028985508,0.8839285714285714,0.4078701151840491,0.9339622641509434,0.65,0.8389830508474576,0.8514830508474577,"[[ 39  21]
 [ 57 297]]"
3,0.7922705314009661,0.8716417910447761,0.37100226401026776,0.9419354838709677,0.6666666666666666,0.8111111111111111,0.83315329218107,"[[ 36  18]
 [ 68 292]]"
4,0.782608695652174,0.8668639053254439,0.3106030200353258,0.9301587301587302,0.5849056603773585,0.8116343490304709,0.8071656300632415,"[[ 31  22]
 [ 68 293]]"

metrics_summary
mean,0.8038647342995169,0.8800272092369129,0.366998096499041,0.9296802935791197,0.6072332640739886,0.8358339555175218,0.8284608900331889
std,0.015153997238027173,0.009989692165949847,0.033943421296449186,0.00893329886926156,0.04419236239306319,0.02162178445501608,0.015840783577240315

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_320_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,320
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
