performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7971014492753623,0.8727272727272728,0.405201655661093,0.935064935064935,0.6774193548387096,0.8181818181818182,0.8209769061583578,"[[ 42  20]
 [ 64 288]]"
1,0.8309178743961353,0.896755162241888,0.45382332429602845,0.9440993788819876,0.6896551724137931,0.8539325842696629,0.8395970554048818,"[[ 40  18]
 [ 52 304]]"
2,0.7946859903381642,0.8702290076335878,0.4254753663915945,0.946843853820598,0.7333333333333333,0.8050847457627118,0.8702919020715632,"[[ 44  16]
 [ 69 285]]"
3,0.7898550724637681,0.869172932330827,0.3873009234614375,0.9475409836065574,0.7037037037037037,0.8027777777777778,0.8243055555555555,"[[ 38  16]
 [ 71 289]]"
4,0.7560386473429952,0.8462709284627092,0.3185942570689988,0.9391891891891891,0.660377358490566,0.7700831024930748,0.7992996393665395,"[[ 35  18]
 [ 83 278]]"

metrics_summary
mean,0.7937198067632851,0.871031060679257,0.39807910537583047,0.9425476681126534,0.6928977845560211,0.8100120056970092,0.8308942117113796
std,0.023794416146907735,0.016011037530057955,0.04548123590882885,0.004755394665287972,0.024736515215551494,0.027080222721795597,0.023528271653886705

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_80_features_vgg_16_fc8_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc8.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,80
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
