performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8164251207729468,0.8888888888888888,0.3689038211232539,0.9156626506024096,0.5483870967741935,0.8636363636363636,0.8216184017595307,"[[ 34  28]
 [ 48 304]]"
1,0.821256038647343,0.8924418604651163,0.3756364495192536,0.9246987951807228,0.5689655172413793,0.8623595505617978,0.8245592793490895,"[[ 33  25]
 [ 49 307]]"
2,0.8067632850241546,0.8798798798798798,0.4174795225821776,0.9391025641025641,0.6833333333333333,0.827683615819209,0.8522363465160075,"[[ 41  19]
 [ 61 293]]"
3,0.8140096618357487,0.8872620790629575,0.38328356719474044,0.9380804953560371,0.6296296296296297,0.8416666666666667,0.8067386831275719,"[[ 34  20]
 [ 57 303]]"
4,0.7898550724637681,0.8726207906295754,0.29948573742953843,0.9254658385093167,0.5471698113207547,0.8254847645429363,0.8120002090628757,"[[ 29  24]
 [ 63 298]]"

metrics_summary
mean,0.8096618357487924,0.8842186997852837,0.3689578195697928,0.9286020687502102,0.5954970776598582,0.8441661922453946,0.8234305839630152
std,0.010952448356284674,0.0070997190115263354,0.03855012300621641,0.008861162454809618,0.053177133401120784,0.016352397717696865,0.01577087783054931

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_1040_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1040
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
