performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8381642512077294,0.9024745269286754,0.43357535994770063,0.9253731343283582,0.5967741935483871,0.8806818181818182,0.8293850806451613,"[[ 37  25]
 [ 42 310]]"
1,0.8285024154589372,0.8972503617945007,0.38842833532429755,0.9253731343283582,0.5689655172413793,0.8707865168539326,0.8291359938008525,"[[ 33  25]
 [ 46 310]]"
2,0.8188405797101449,0.8895434462444772,0.4025590176027206,0.9292307692307692,0.6166666666666667,0.8531073446327684,0.8190442561205273,"[[ 37  23]
 [ 52 302]]"
3,0.8019323671497585,0.8790560471976401,0.36500780172204467,0.9371069182389937,0.6296296296296297,0.8277777777777777,0.7950874485596708,"[[ 34  20]
 [ 62 298]]"
4,0.7946859903381642,0.8744460856720828,0.34788262178804774,0.9367088607594937,0.6226415094339622,0.8199445983379502,0.7779752260492343,"[[ 33  20]
 [ 65 296]]"

metrics_summary
mean,0.8164251207729467,0.8885540935674753,0.38749062727696226,0.9307585633771946,0.606935503304005,0.8504596111568494,0.8101256010350892
std,0.016167343507904833,0.010579519236519874,0.029752343815126914,0.0052162725278320525,0.021915152731268272,0.023576288758035024,0.020355135165836615

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_1060_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1060
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
