performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8478260869565217,0.9090909090909091,0.44525404164275767,0.9237536656891495,0.5806451612903226,0.8948863636363636,0.8037481671554253,"[[ 36  26]
 [ 37 315]]"
1,0.8091787439613527,0.8853410740203194,0.3272097042585382,0.9159159159159159,0.5172413793103449,0.8567415730337079,0.8155269275474621,"[[ 30  28]
 [ 51 305]]"
2,0.7946859903381642,0.8733233979135618,0.3554547900636168,0.9242902208201893,0.6,0.827683615819209,0.8354284369114877,"[[ 36  24]
 [ 61 293]]"
3,0.8236714975845411,0.8931185944363105,0.4179221606936757,0.9442724458204335,0.6666666666666666,0.8472222222222222,0.824022633744856,"[[ 36  18]
 [ 55 305]]"
4,0.7874396135265701,0.870967741935484,0.29611722400613033,0.9252336448598131,0.5471698113207547,0.8227146814404432,0.8088381330685204,"[[ 29  24]
 [ 64 297]]"

metrics_summary
mean,0.81256038647343,0.8863683434793168,0.3683915841329437,0.9266931786211003,0.5823446037176178,0.8498496912303892,0.8175128596855503
std,0.021582906187138803,0.013930436398206007,0.05558418190710185,0.009399204306243279,0.0507946990754373,0.025730709842588656,0.01124283446847737

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_all_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
